farm_size,crop,n_farms,planted_area_ha,ds_planted_area_ha,production_ton,n_plants_in_production,n_plants_in_growth,flowers_area_ha,o_plants_area_ha
20-50,forage_para,7,26,,,,,,
50-100,forage_para,4,93,,,,,,
100-200,forage_para,3,105,,,,,,
200-500,forage_para,2,223,,,,,,
500-1000,forage_para,1,6,,,,,,
1000-5000,forage_para,5,1309,,,,,,
5000-10000,forage_para,-,-,,,,,,
<10000,forage_para,5,10737,,,,,,
< 1,forage_leucaena,1,0,,,,,,
1 - 5,forage_leucaena,19,14,,,,,,
5-10,forage_leucaena,9,6,,,,,,
10-20,forage_leucaena,25,43,,,,,,
20-50,forage_leucaena,12,19,,,,,,
50-100,forage_leucaena,8,50,,,,,,
100-200,forage_leucaena,2,7,,,,,,
200-500,forage_leucaena,2,3,,,,,,
500-1000,forage_leucaena,2,110,,,,,,
1000-5000,forage_leucaena,3,7,,,,,,
5000-10000,forage_leucaena,-,-,,,,,,
<10000,forage_leucaena,-,-,,,,,,
< 1,forage_others,20,4,,,,,,
1 - 5,forage_others,247,239,,,,,,
5-10,forage_others,414,864,,,,,,
10-20,forage_others,587,2627,,,,,,
20-50,forage_others,375,3831,,,,,,
50-100,forage_others,133,3665,,,,,,
100-200,forage_others,111,5594,,,,,,
200-500,forage_others,122,11160,,,,,,
500-1000,forage_others,87,16494,,,,,,
1000-5000,forage_others,129,100339,,,,,,
5000-10000,forage_others,39,63757,,,,,,
<10000,forage_others,39,110112,,,,,,
< 1,,,,,,,,,
1 - 5,,,,,,,,,
5-10,,,,,,,,,
10-20,,,,,,,,,
20-50,,,,,,,,,
50-100,,,,,,,,,
100-200,,,,,,,,,
200-500,,,,,,,,,
500-1000,,,,,,,,,
1000-5000,,,,,,,,,
5000-10000,,,,,,,,,
<10000,,,,,,,,,
< 1,,,,,,,,,
1 - 5,,,,,,,,,
5-10,,,,,,,,,
10-20,,,,,,,,,
20-50,,,,,,,,,
50-100,,,,,,,,,
100-200,,,,,,,,,
200-500,,,,,,,,,
500-1000,,,,,,,,,
1000-5000,,,,,,,,,
5000-10000,,,,,,,,,
<10000,,,,,,,,,
< 1,,,,,,,,,
1 - 5,,,,,,,,,
5-10,,,,,,,,,
10-20,,,,,,,,,
20-50,,,,,,,,,
50-100,,,,,,,,,
100-200,,,,,,,,,
200-500,,,,,,,,,
500-1000,,,,,,,,,
1000-5000,,,,,,,,,
5000-10000,,,,,,,,,
<10000,,,,,,,,,
< 1,,,,,,,,,
1 - 5,,,,,,,,,
5-10,,,,,,,,,
10-20,,,,,,,,,
20-50,,,,,,,,,
50-100,,,,,,,,,
100-200,,,,,,,,,
200-500,,,,,,,,,
500-1000,,,,,,,,,
1000-5000,,,,,,,,,
5000-10000,,,,,,,,,
<10000,,,,,,,,,
< 1,,,,,,,,,
1 - 5,,,,,,,,,
5-10,,,,,,,,,
10-20,,,,,,,,,
20-50,,,,,,,,,
50-100,,,,,,,,,
100-200,,,,,,,,,
200-500,,,,,,,,,
500-1000,,,,,,,,,
1000-5000,,,,,,,,,
5000-10000,,,,,,,,,
<10000,,,,,,,,,
< 1,,,,,,,,,
1 - 5,,,,,,,,,
5-10,,,,,,,,,
10-20,,,,,,,,,
20-50,,,,,,,,,
50-100,,,,,,,,,
100-200,,,,,,,,,
200-500,,,,,,,,,
500-1000,,,,,,,,,
1000-5000,,,,,,,,,
5000-10000,,,,,,,,,
<10000,,,,,,,,,
< 1,,,,,,,,,
1 - 5,,,,,,,,,
5-10,,,,,,,,,
10-20,,,,,,,,,
20-50,,,,,,,,,
50-100,,,,,,,,,
100-200,,,,,,,,,
200-500,,,,,,,,,
500-1000,,,,,,,,,
1000-5000,,,,,,,,,
5000-10000,,,,,,,,,
<10000,,,,,,,,,
< 1,,,,,,,,,
1 - 5,,,,,,,,,
5-10,,,,,,,,,
10-20,,,,,,,,,
20-50,,,,,,,,,
50-100,,,,,,,,,
100-200,,,,,,,,,
200-500,,,,,,,,,
500-1000,,,,,,,,,
1000-5000,,,,,,,,,
5000-10000,,,,,,,,,
<10000,,,,,,,,,
< 1,,,,,,,,,
1 - 5,,,,,,,,,
5-10,,,,,,,,,
10-20,,,,,,,,,
20-50,,,,,,,,,
50-100,,,,,,,,,
100-200,,,,,,,,,
200-500,,,,,,,,,
500-1000,,,,,,,,,
1000-5000,,,,,,,,,
5000-10000,,,,,,,,,
<10000,,,,,,,,,
