cod,department,crop,n_farms,planted_area_ha,ds_planted_area_ha,production_ton,n_plants_in_production,n_plants_in_growth,flowers_area_ha,o_plants_area_ha
13,AMAMBAY,forage_brachiaria_grass,411,186028,,,,,,
14,CANINDEYÈ,forage_brachiaria_grass,472,19465,,,,,,
15,PRESIDENTE HAYES,forage_brachiaria_grass,40,16744,,,,,,
16,BOQUER‡N,forage_brachiaria_grass,44,7737,,,,,,
17,ALTO PARAGUAY,forage_brachiaria_grass,14,33930,,,,,,
1,CONCEPCI‡N,forage_tanzania_grass,20,1786,,,,,,
2,SAN PEDRO,forage_tanzania_grass,120,14914,,,,,,
3,CORDILLERA,forage_tanzania_grass,2,2,,,,,,
4,GUAIRµ,forage_tanzania_grass,3,1752,,,,,,
5,CAAGUAZÈ,forage_tanzania_grass,7,1254,,,,,,
6,CAAZAPµ,forage_tanzania_grass,3,1006,,,,,,
7, ITAPÈA,forage_tanzania_grass,-,-,,,,,,
8,MISIONES,forage_tanzania_grass,2,7,,,,,,
9,PARAGUAR÷,forage_tanzania_grass,-,-,,,,,,
10,ALTO PARANµ,forage_tanzania_grass,2,133,,,,,,
11,CENTRAL,forage_tanzania_grass,1,20,,,,,,
12,•EEMBUCÈ,forage_tanzania_grass,1,35,,,,,,
13,AMAMBAY,forage_tanzania_grass,4,970,,,,,,
14,CANINDEYÈ,forage_tanzania_grass,1,1,,,,,,
15,PRESIDENTE HAYES,forage_tanzania_grass,103,80231,,,,,,
16,BOQUER‡N,forage_tanzania_grass,17,6185,,,,,,
17,ALTO PARAGUAY,forage_tanzania_grass,91,284338,,,,,,
1,CONCEPCI‡N,forage_marafalda,98,884,,,,,,
2,SAN PEDRO,forage_marafalda,321,1579,,,,,,
3,CORDILLERA,forage_marafalda,56,434,,,,,,
4,GUAIRµ,forage_marafalda,12,227,,,,,,
5,CAAGUAZÈ,forage_marafalda,211,1499,,,,,,
6,CAAZAPµ,forage_marafalda,40,66,,,,,,
7, ITAPÈA,forage_marafalda,22,54,,,,,,
8,MISIONES,forage_marafalda,11,608,,,,,,
9,PARAGUAR÷,forage_marafalda,38,258,,,,,,
10,ALTO PARANµ,forage_marafalda,3,6,,,,,,
11,CENTRAL,forage_marafalda,7,20,,,,,,
12,•EEMBUCÈ,forage_marafalda,82,56,,,,,,
13,AMAMBAY,forage_marafalda,20,12,,,,,,
14,CANINDEYÈ,forage_marafalda,74,71,,,,,,
15,PRESIDENTE HAYES,forage_marafalda,-,-,,,,,,
16,BOQUER‡N,forage_marafalda,1,3,,,,,,
17,ALTO PARAGUAY,forage_marafalda,-,-,,,,,,
1,CONCEPCI‡N,forage_humidicola_grass,537,79827,,,,,,
2,SAN PEDRO,forage_humidicola_grass,547,33267,,,,,,
3,CORDILLERA,forage_humidicola_grass,55,3139,,,,,,
4,GUAIRµ,forage_humidicola_grass,7,104,,,,,,
5,CAAGUAZÈ,forage_humidicola_grass,25,1457,,,,,,
6,CAAZAPµ,forage_humidicola_grass,10,1269,,,,,,
7, ITAPÈA,forage_humidicola_grass,28,633,,,,,,
8,MISIONES,forage_humidicola_grass,63,7691,,,,,,
9,PARAGUAR÷,forage_humidicola_grass,57,2361,,,,,,
10,ALTO PARANµ,forage_humidicola_grass,3,12,,,,,,
11,CENTRAL,forage_humidicola_grass,6,103,,,,,,
12,•EEMBUCÈ,forage_humidicola_grass,60,1962,,,,,,
13,AMAMBAY,forage_humidicola_grass,81,26366,,,,,,
14,CANINDEYÈ,forage_humidicola_grass,14,160,,,,,,
15,PRESIDENTE HAYES,forage_humidicola_grass,22,13883,,,,,,
16,BOQUER‡N,forage_humidicola_grass,6,11758,,,,,,
17,ALTO PARAGUAY,forage_humidicola_grass,16,18260,,,,,,
1,CONCEPCI‡N,forage_brizantha_grass,2703,99600,,,,,,
2,SAN PEDRO,forage_brizantha_grass,9734,179530,,,,,,
3,CORDILLERA,forage_brizantha_grass,675,15931,,,,,,
4,GUAIRµ,forage_brizantha_grass,386,8908,,,,,,
5,CAAGUAZÈ,forage_brizantha_grass,5302,86881,,,,,,
6,CAAZAPµ,forage_brizantha_grass,1431,27148,,,,,,
7, ITAPÈA,forage_brizantha_grass,803,15034,,,,,,
8,MISIONES,forage_brizantha_grass,728,29825,,,,,,
9,PARAGUAR÷,forage_brizantha_grass,757,17290,,,,,,
10,ALTO PARANµ,forage_brizantha_grass,435,6601,,,,,,
11,CENTRAL,forage_brizantha_grass,20,426,,,,,,
12,•EEMBUCÈ,forage_brizantha_grass,160,3489,,,,,,
13,AMAMBAY,forage_brizantha_grass,194,119623,,,,,,
14,CANINDEYÈ,forage_brizantha_grass,2504,81201,,,,,,
15,PRESIDENTE HAYES,forage_brizantha_grass,105,32034,,,,,,
16,BOQUER‡N,forage_brizantha_grass,123,27606,,,,,,
17,ALTO PARAGUAY,forage_brizantha_grass,12,15580,,,,,,
1,CONCEPCI‡N,forage_pangola_grass,23,1267,,,,,,
2,SAN PEDRO,forage_pangola_grass,34,2325,,,,,,
3,CORDILLERA,forage_pangola_grass,22,435,,,,,,
4,GUAIRµ,forage_pangola_grass,4,102,,,,,,
5,CAAGUAZÈ,forage_pangola_grass,23,294,,,,,,
6,CAAZAPµ,forage_pangola_grass,9,634,,,,,,
7, ITAPÈA,forage_pangola_grass,2,28,,,,,,
8,MISIONES,forage_pangola_grass,54,138,,,,,,
9,PARAGUAR÷,forage_pangola_grass,10,138,,,,,,
10,ALTO PARANµ,forage_pangola_grass,2,6,,,,,,
11,CENTRAL,forage_pangola_grass,6,214,,,,,,
12,•EEMBUCÈ,forage_pangola_grass,29,1785,,,,,,
13,AMAMBAY,forage_pangola_grass,10,687,,,,,,
14,CANINDEYÈ,forage_pangola_grass,7,39,,,,,,
15,PRESIDENTE HAYES,forage_pangola_grass,652,327867,,,,,,
16,BOQUER‡N,forage_pangola_grass,130,8681,,,,,,
17,ALTO PARAGUAY,forage_pangola_grass,23,39738,,,,,,
1,CONCEPCI‡N,forage_sorghum,4,12,,,,,,
2,SAN PEDRO,forage_sorghum,48,2478,,,,,,
3,CORDILLERA,forage_sorghum,24,100,,,,,,
4,GUAIRµ,forage_sorghum,23,122,,,,,,
5,CAAGUAZÈ,forage_sorghum,22,78,,,,,,
6,CAAZAPµ,forage_sorghum,7,46,,,,,,
7, ITAPÈA,forage_sorghum,16,190,,,,,,
8,MISIONES,forage_sorghum,6,21,,,,,,
9,PARAGUAR÷,forage_sorghum,12,1096,,,,,,
10,ALTO PARANµ,forage_sorghum,7,107,,,,,,
11,CENTRAL,forage_sorghum,1,3,,,,,,
12,•EEMBUCÈ,forage_sorghum,-,-,,,,,,
13,AMAMBAY,forage_sorghum,-,-,,,,,,
14,CANINDEYÈ,forage_sorghum,8,28,,,,,,
15,PRESIDENTE HAYES,forage_sorghum,20,1362,,,,,,
16,BOQUER‡N,forage_sorghum,5,630,,,,,,
17,ALTO PARAGUAY,forage_sorghum,-,-,,,,,,
1,CONCEPCI‡N,forage_para,1,5,,,,,,
2,SAN PEDRO,forage_para,3,8,,,,,,
3,CORDILLERA,forage_para,4,14,,,,,,
4,GUAIRµ,forage_para,2,44,,,,,,
5,CAAGUAZÈ,forage_para,2,2,,,,,,
6,CAAZAPµ,forage_para,-,-,,,,,,
7, ITAPÈA,forage_para,6,410,,,,,,
8,MISIONES,forage_para,-,0,,,,,,
9,PARAGUAR÷,forage_para,7,18,,,,,,
10,ALTO PARANµ,forage_para,11,14,,,,,,
11,CENTRAL,forage_para,1,90,,,,,,
12,•EEMBUCÈ,forage_para,-,-,,,,,,
13,AMAMBAY,forage_para,-,-,,,,,,
14,CANINDEYÈ,forage_para,-,-,,,,,,
15,PRESIDENTE HAYES,forage_para,14,11161,,,,,,
16,BOQUER‡N,forage_para,-,-,,,,,,
17,ALTO PARAGUAY,forage_para,1,790,,,,,,
1,CONCEPCI‡N,forage_leucaena,4,6,,,,,,
2,SAN PEDRO,forage_leucaena,21,65,,,,,,
3,CORDILLERA,forage_leucaena,13,13,,,,,,
4,GUAIRµ,forage_leucaena,2,1,,,,,,
5,CAAGUAZÈ,forage_leucaena,4,8,,,,,,
6,CAAZAPµ,forage_leucaena,7,9,,,,,,
7, ITAPÈA,forage_leucaena,6,7,,,,,,
8,MISIONES,forage_leucaena,4,4,,,,,,
9,PARAGUAR÷,forage_leucaena,5,6,,,,,,
10,ALTO PARANµ,forage_leucaena,1,0,,,,,,
11,CENTRAL,forage_leucaena,-,-,,,,,,
12,•EEMBUCÈ,forage_leucaena,10,10,,,,,,
13,AMAMBAY,forage_leucaena,-,-,,,,,,
14,CANINDEYÈ,forage_leucaena,4,21,,,,,,
15,PRESIDENTE HAYES,forage_leucaena,1,80,,,,,,
16,BOQUER‡N,forage_leucaena,1,30,,,,,,
17,ALTO PARAGUAY,forage_leucaena,-,-,,,,,,
1,CONCEPCI‡N,forage_others,722,82638,,,,,,
2,SAN PEDRO,forage_others,58,9242,,,,,,
3,CORDILLERA,forage_others,26,259,,,,,,
4,GUAIRµ,forage_others,10,110,,,,,,
5,CAAGUAZÈ,forage_others,35,558,,,,,,
6,CAAZAPµ,forage_others,5,48,,,,,,
7, ITAPÈA,forage_others,39,803,,,,,,
8,MISIONES,forage_others,21,4031,,,,,,
9,PARAGUAR÷,forage_others,53,799,,,,,,
10,ALTO PARANµ,forage_others,369,4687,,,,,,
11,CENTRAL,forage_others,8,178,,,,,,
12,•EEMBUCÈ,forage_others,6,403,,,,,,
13,AMAMBAY,forage_others,165,53632,,,,,,
14,CANINDEYÈ,forage_others,612,31092,,,,,,
15,PRESIDENTE HAYES,forage_others,80,85,,,,,,
16,BOQUER‡N,forage_others,30,47,,,,,,
17,ALTO PARAGUAY,forage_others,-,42,,,,,,
